Time,Personen (wifi),Out
2021-01-14 04:00:00,4,3.3
2021-01-14 04:15:00,4.7,3.7
2021-01-14 04:30:00,3,3.7
2021-01-14 04:45:00,6,4
2021-01-14 05:00:00,3.7,5
2021-01-14 05:15:00,4,5.7
2021-01-14 05:30:00,4,4.7
2021-01-14 05:45:00,6.3,4
2021-01-14 06:00:00,4.7,3
2021-01-14 06:15:00,5.7,3.3
2021-01-14 06:30:00,4.7,4.3
2021-01-14 06:45:00,6.3,4.3
2021-01-14 07:00:00,8.7,3.7
2021-01-14 07:15:00,5,2.7
2021-01-14 07:30:00,6,5.3
2021-01-14 07:45:00,8.7,4
2021-01-14 08:00:00,11,4.7
2021-01-14 08:15:00,12,4.7
2021-01-14 08:30:00,10,7.3
2021-01-14 08:45:00,8.3,6.3
2021-01-14 09:00:00,10,6
2021-01-14 09:15:00,12,7
2021-01-14 09:30:00,15,7.7
2021-01-14 09:45:00,11,9.7
2021-01-14 10:00:00,13,7.7
2021-01-14 10:15:00,13,6.7
2021-01-14 10:30:00,15,6.3
2021-01-14 10:45:00,20,6.3
2021-01-14 11:00:00,15,7.7
2021-01-14 11:15:00,18,7.7
2021-01-14 11:30:00,17,7
2021-01-14 11:45:00,16,8.3
2021-01-14 12:00:00,17,8.7
2021-01-14 12:15:00,15,6.7
2021-01-14 12:30:00,17,6.7
2021-01-14 12:45:00,17,7.7
2021-01-14 13:00:00,17,7
2021-01-14 13:15:00,15,4
2021-01-14 13:30:00,19,7
2021-01-14 13:45:00,17,7.7
2021-01-14 14:00:00,16,9.7
2021-01-14 14:15:00,16,10
2021-01-14 14:30:00,14,12
2021-01-14 14:45:00,17,14
2021-01-14 15:00:00,17,10
2021-01-14 15:15:00,14,14
2021-01-14 15:30:00,15,10
2021-01-14 15:45:00,14,9.3
2021-01-14 16:00:00,18,8.3
2021-01-14 16:15:00,17,8.7
2021-01-14 16:30:00,17,8.7
2021-01-14 16:45:00,16,9.3
2021-01-14 17:00:00,16,8.3
2021-01-14 17:15:00,17,8
2021-01-14 17:30:00,14,8.3
2021-01-14 17:45:00,11,8.3
2021-01-14 18:00:00,10,7
2021-01-14 18:15:00,11,9
2021-01-14 18:30:00,14,10
2021-01-14 18:45:00,13,10
2021-01-14 19:00:00,8.3,9
2021-01-14 19:15:00,8,9.3
2021-01-14 19:30:00,11,10
2021-01-14 19:45:00,13,7
2021-01-14 20:00:00,13,9.7
2021-01-14 20:15:00,13,12
2021-01-14 20:30:00,9.3,8
2021-01-14 20:45:00,10,9
2021-01-14 21:00:00,12,7
2021-01-14 21:15:00,7,8
2021-01-14 21:30:00,9.7,8.3
2021-01-14 21:45:00,7.7,6.7
2021-01-14 22:00:00,8,6.7
2021-01-14 22:15:00,7.7,7.7
2021-01-14 22:30:00,8,6.7
2021-01-14 22:45:00,9,6.7
2021-01-14 23:00:00,8.3,6.7
2021-01-14 23:15:00,8.3,6.7
